code,term
16002111000119106,Cerebrovascular accident due to thrombus of left middle cerebral artery
16023911000119108,Cerebrovascular accident due to occlusion of right carotid artery
16023951000119109,Cerebrovascular accident due to occlusion of left anterior choroidal artery
16024071000119102,Cerebrovascular accident due to occlusion of right anterior choroidal artery
16024111000119109,Cerebrovascular accident due to occlusion of left carotid artery
16024151000119105,Cerebrovascular accident due to occlusion of left cerebellar artery
16024271000119107,Cerebrovascular accident due to occlusion of right cerebellar artery
16026951000119102,Cerebrovascular accident due to stenosis of right carotid artery
16026991000119107,Cerebrovascular accident due to stenosis of left carotid artery
161511000,History of transient ischemic attack
16218291000119100,Acute cerebral ischemia
16371781000119100,Cerebellar stroke
16415791000119104,Myasthenia gravis in remission
16469821000119106,Fatigue due to and following cerebrovascular accident with intracranial hemorrhage
16469931000119100,Fatigue due to and following ischemic cerebrovascular accident
16469991000119101,Fatigue due to and following cerebrovascular accident
16470041000119105,Urinary incontinence due to and following cerebrovascular accident with intracranial hemorrhage
16470211000119100,Urinary incontinence due to and following embolic cerebrovascular accident
16644541000119106,Cerebrovascular accident due to occlusion of bilateral carotid arteries
16702561000119104,Psychomotor retardation due to and following cerebrovascular accident with intracranial hemorrhage
16851005,Mitochondrial myopathy
168747591000119109,Cerebrovascular accident due to embolism of bilateral posterior cerebral arteries
182960891000119101,Cerebrovascular accident due to occlusion of left anterior cerebral artery
186476008,Acute paralytic non-bulbar poliomyelitis
186478009,"Acute paralytic poliomyelitis, vaccine-associated"
186479001,"Acute paralytic poliomyelitis, wild virus, imported"
186480003,"Acute paralytic poliomyelitis, wild virus, indigenous"
188174841000119103,Cerebrovascular accident due to occlusion of bilateral middle cerebral arteries
192686004,Polioencephalitis
193206003,Persistent neonatal myasthenia gravis
193207007,Juvenile or adult myasthenia gravis
193209005,Myasthenic syndrome due to another disorder
193212008,Myasthenic syndrome due to hypothyroidism
193213003,Myasthenic syndrome due to pernicious anemia
193214009,Myasthenic syndrome due to thyrotoxicosis
193216006,Congenital and developmental myasthenia
193225000,Hereditary progressive muscular dystrophy
193227008,Pelvic muscular dystrophy
193230001,Distal muscular dystrophy with juvenile onset
193237003,Myotonic disorder
193238008,Infantile myotonia
193246009,Symptomatic inflammatory myopathy associated with another disorder
193248005,Myopathy due to disseminated lupus erythematosus
193249002,Myopathy due to polyarteritis nodosa
193250002,Myopathy due to rheumatoid arthritis
193251003,Sarcoid myopathy
193252005,Myopathy due to scleroderma
193253000,Myopathy due to Sjögren's disease
195163003,Intracerebral hemorrhage (& [cerebrovascular accident due to])
195165005,Basal ganglia hemorrhage
195167002,External capsule hemorrhage
195169004,"Intracerebral hemorrhage, multiple localized"
195185009,Cerebral infarct due to thrombosis of precerebral arteries
195186005,Cerebral infarction due to embolism of precerebral arteries
195189003,Cerebral infarction due to thrombosis of cerebral arteries
195190007,Cerebral infarction due to embolism of cerebral arteries
195200006,Carotid artery syndrome hemispheric
195201005,Multiple and bilateral precerebral artery syndromes
195206000,Intermittent cerebral ischemia
195209007,Middle cerebral artery syndrome
195210002,Anterior cerebral artery syndrome
195211003,Posterior cerebral artery syndrome
195212005,Brainstem stroke syndrome
195213000,Cerebellar stroke syndrome
195216008,Left sided cerebral hemisphere cerebrovascular accident
195217004,Right sided cerebral hemisphere cerebrovascular accident
195230003,"Cerebral infarction due to cerebral venous thrombosis, non-pyogenic"
195772021000119105,Cerebrovascular accident due to thrombosis of left anterior cerebral artery
196136009,Lung disease co-occurrent with polymyositis
19972008,Postencephalitic parkinsonism
20059004,Occlusion of cerebral artery
20908003,Subcortical cerebral hemorrhage
21764004,Renal carnitine transport defect
22062008,"X-linked glutaric aciduria, type 2"
22886006,"Glutaric aciduria, type 2"
230237004,Progressive spinocerebellar ataxia with decreased tendon reflexes
230238009,Progressive spinocerebellar ataxia with retained tendon reflexes
230246005,Progressive bulbar palsy of childhood
230247001,Distal spinal muscular atrophy
230248006,Scapuloperoneal spinal muscular atrophy
230249003,Facioscapulohumeral spinal muscular atrophy
230250003,Facioscapulohumeral spinal muscular atrophy with sensory loss
230251004,Scapulohumeral spinal muscular atrophy
230252006,Oculopharyngeal spinal muscular atrophy
230253001,Bulbospinal neuronopathy
230254007,Western Pacific motor neurone disease
230255008,Madras-type motor neurone disease
230257000,Paraneoplastic motor neurone disease
230258005,Amyotrophic lateral sclerosis with dementia
230264003,Troyer syndrome
230274000,Frontal lobe degeneration with motor neurone disease
230291001,Juvenile Parkinson's disease
230292008,Secondary parkinsonism
230296006,Vascular parkinsonism
230301006,Akinetic-rigid form of Huntington's disease
230669004,Genetically determined myasthenia
230670003,Familial infantile myasthenia
230671004,Acetylcholine resynthesis deficiency
230672006,Congenital myasthenic syndrome
230673001,Congenital end-plate acetylcholine receptor deficiency
230674007,Pseudomyopathic myasthenia
230675008,Slow channel syndrome
230676009,Putative defect in acetylcholine synthesis or packaging
230677000,Congenital end-plate acetylcholinesterase deficiency
230678005,Decrease of motor end-plate potential amplitude without acetylcholine receptor deficiency
230679002,Abnormality of synaptic vesicles
230682007,Penicillamine-induced myasthenia
230685009,Myasthenia gravis associated with thymoma
230686005,Generalized myasthenia
230687001,Myopathy in myasthenia gravis
230690007,Cerebrovascular accident
230691006,Cerebrovascular accident due to occlusion of cerebral artery
230692004,Infarction - precerebral
230693009,Anterior cerebral circulation infarction
230694003,Total anterior cerebral circulation infarction
230695002,Partial anterior cerebral circulation infarction
230696001,Posterior cerebral circulation infarction
230698000,Lacunar infarction
230699008,Pure motor hemiparesis due to and following lacunar infarction
230700009,Pure sensory stroke due to and following lacunar infarction
230701008,Pure sensorimotor motor hemiparesis due to and following lacunar infarction
230702001,Ataxic hemiparesis due to and following lacunar infarction
230703006,Dysarthria-clumsy hand syndrome due to and following lacunar infarction
230704000,Multi-infarct state
230706003,Hemorrhagic cerebral infarction
230707007,Anterior cerebral circulation hemorrhagic infarction
230708002,Posterior cerebral circulation hemorrhagic infarction
230709005,Massive supratentorial cerebral hemorrhage
230710000,Lobar cerebral hemorrhage
230711001,Thalamic hemorrhage
230712008,Lacunar hemorrhage
230713003,Stroke of uncertain pathology
230714009,Anterior circulation stroke of uncertain pathology
230715005,Posterior circulation stroke of uncertain pathology
230716006,Carotid territory transient ischemic attack
230717002,Vertebrobasilar territory transient ischemic attack
230784003,Congenital pseudobulbar palsy
237997005,Very long chain acyl-coenzyme A dehydrogenase deficiency
237999008,Mitochondrial trifunctional protein deficiency
238001003,Carnitine palmitoyltransferase I deficiency
238002005,Carnitine palmitoyltransferase II deficiency
238003000,Carnitine acylcarnitine translocase deficiency
238026007,Infantile GM1 gangliosidosis
238936001,Sclerodermatomyositis
239898008,Polymyositis with malignant disease
239899000,Polymyositis associated with autoimmune disease
239901009,Dermatomyositis with malignant disease
239965291000119107,Cerebrovascular accident due to occlusion of basilar artery
240046001,Muscular dystrophy with predominantly proximal limb girdle distribution
240047005,X-linked muscular dystrophy with limb girdle distribution
240048000,X-linked muscular dystrophy with abnormal dystrophin
240049008,Intermediate X-linked muscular dystrophy
240050008,Manifesting female carrier of X-linked muscular dystrophy
240051007,X-linked limb girdle muscular dystrophy with normal dystrophin
240052000,Ji muscular dystrophy
240053005,Hereditary myopathy limited to females
240054004,Autosomal recessive muscular dystrophy with limb girdle distribution
240055003,Autosomal recessive muscular dystrophy with abnormal dystrophin-associated glycoprotein
240056002,Severe autosomal recessive muscular dystrophy of childhood - North African type
240058001,Reunion-Indiana Amish type muscular dystrophy
240059009,Congenital muscular dystrophy
240060004,Western type of congenital muscular dystrophy
240061000,Congenital muscular dystrophy with arthrogryposis multiplex congenita
240062007,Ullrich congenital muscular dystrophy
240063002,Eichsfeld type congenital muscular dystrophy
240064008,Hutterite type of muscular dystrophy
240065009,Adult onset autosomal recessive muscular dystrophy with normal dystrophin
240067001,Autosomal dominant muscular dystrophy with limb girdle distribution
240068006,Autosomal dominant muscular dystrophy with gene located at 5q31
240069003,Late onset proximal muscular dystrophy with dysarthria
240070002,Muscular dystrophy not predominantly limb girdle in distribution
240071003,X-linked muscular dystrophy not predominantly limb girdle
240072005,Benign scapuloperoneal muscular dystrophy with cardiomyopathy
240073000,Autosomal recessive muscular dystrophy not predominantly limb girdle
240074006,Scapulohumeral muscular dystrophy
240075007,Autosomal dominant muscular dystrophy not predominantly limb girdle
240076008,Benign scapuloperoneal muscular dystrophy
240077004,Severe scapuloperoneal muscular dystrophy with cardiomyopathy
240078009,Benign congenital muscular dystrophy with finger flexion contractures
240104008,Congenital myotonic dystrophy
240460008,Acute paralytic poliomyelitis
24654003,Weber-Gubler syndrome
249892007,Progressive pseudobulbar palsy
25133001,Completed stroke
251770561000119107,Cerebrovascular accident due to embolism of left anterior cerebral artery
25425008,"Autosomal recessive glutaric aciduria, type 2"
256321009,Disorder of neuromuscular transmission
26111005,Metabolic myopathy
266257000,Transient ischemic attack
267604001,Myasthenic syndrome due to diabetic mellitus
272202251000119109,Acute cerebrovascular accident due to occlusion of right middle cerebral artery
274100004,Cerebral hemorrhage
275434003,Stroke in the puerperium
276219001,Occipital cerebral infarction
276220007,Foville syndrome
276221006,Millard-Gubler syndrome
276222004,Top of basilar syndrome
276722003,Intracerebellar and posterior fossa hemorrhage
277373000,Severe childhood autosomal recessive muscular dystrophy
281240008,Extension of cerebrovascular accident
281357005,Idiopathic polymyositis
291511000119103,Spontaneous hemorrhage of deep cerebral hemisphere
291531000119108,Spontaneous hemorrhage of cerebral hemisphere
291541000119104,Spontaneous hemorrhage of brain stem
29570005,Leigh's disease
297138001,Embolus of circle of Willis
297778421000119102,Cerebrovascular accident due to thrombosis of bilateral posterior cerebral arteries
305719002,Neuromyotonia
307127004,Isolated long chain hydroxyacyl-CoA dehydrogenase deficiency
307128009,Combined long chain hydroxyacyl-coenzyme A dehydrogenase deficiency
307130006,3-Ketoacyl-coenzyme A triolase deficiency
307363008,Multiple lacunar infarcts
307766002,Left sided cerebral infarction
307767006,Right sided cerebral infarction
308128006,"Right sided intracerebral hemorrhage, unspecified"
31097004,Post poliomyelitis syndrome
31384009,Polymyositis
31839002,"Myasthenia gravis, adult form"
329361000119107,Cerebrovascular accident due to occlusion of right middle cerebral artery by embolus
329371000119101,Cerebrovascular accident due to occlusion of left middle cerebral artery by embolus
329421000119107,Cerebrovascular accident due to occlusion of right posterior cerebral artery by embolus
329431000119105,Cerebrovascular accident due to occlusion of left posterior cerebral artery by embolus
329451000119104,Cerebrovascular accident due to occlusion of right cerebellar artery by embolus
329461000119102,Cerebrovascular accident due to occlusion of left cerebellar artery by embolus
329481000119106,Occlusion of right middle cerebral artery
329491000119109,Occlusion of left middle cerebral artery
329501000119102,Occlusion of bilateral middle cerebral arteries
329541000119100,Occlusion of bilateral anterior cerebral arteries
329561000119101,Occlusion of right posterior cerebral artery
329571000119107,Occlusion of left posterior cerebral artery
329641000119104,Cerebrovascular accident due to thrombus of basilar artery
329651000119102,Cerebrovascular accident due to thrombus of right carotid artery
330791000119108,Cerebrovascular accident due to thrombus of left carotid artery
34253008,Myopathy in Addison's disease
346410121000119101,Acute cerebrovascular accident due to thrombosis of left middle cerebral artery
346674811000119104,Cerebrovascular accident due to occlusion of bilateral cerebellar arteries
34781003,Vertebral artery syndrome
371040005,Thrombotic stroke
371041009,Embolic stroke
37340000,Motor neuron disease
373606000,Occlusive stroke
384430101000119103,Cerebrovascular accident due to embolism of right carotid artery
384993003,Periventricular hemorrhagic venous infarct
38595071000119104,Cerebrovascular accident due to thrombosis of right posterior cerebral artery
387732009,Becker muscular dystrophy
396230008,Dermatomyositis
398432008,Bulbar weakness
399091004,Facioscapulohumeral muscular dystrophy
39912006,Hereditary spastic paraplegia
40076141000119107,Acute cerebrovascular accident due to occlusion of left posterior cerebral artery
407573811000119100,Acute cerebrovascular accident due to occlusion of right carotid artery
40956001,Guillain-Barré syndrome
413102000,Infarction of basal ganglia
413758000,Cardioembolic stroke
41574007,Paramyotonia congenita
41713005,Benedikt's syndrome
419921000000105,"[X]Dermatopolymyositis, unspecified"
4223005,Parkinsonism caused by drug
422504002,Ischemic stroke
426107000,Acute lacunar infarction
426814001,Transient cerebral ischemia due to atrial fibrillation
426983002,Infarction of medulla oblongata
432504007,Cerebral infarction
44395000,Spastic tetraplegia with rigidity syndrome
444657001,Superior cerebellar artery syndrome
46251005,Corticospinal motor disease
46583221000119102,Acute cerebrovascular accident due to stenosis of left carotid artery
48794007,Human immunodeficiency virus infection with infectious mononucleosis-like syndrome
488408691000119104,Cerebrovascular accident due to thrombosis of bilateral cerebellar arteries
49049000,Parkinson's disease
49422009,Cortical hemorrhage
496369931000119104,Cerebrovascular accident due to thrombosis of right cerebellar artery
49793008,Hereditary motor neuron disease
502836591000119106,Acute cerebrovascular accident due to occlusion of left carotid artery
50967008,Gangliosidosis
511452481000119102,Cerebrovascular accident due to thrombosis of right vertebral artery
517253051000119105,Cerebrovascular accident due to embolism of left vertebral artery
52201006,Internal capsule hemorrhage
5262007,Spinal muscular atrophy
53509000,Myopathy in Cushing's disease
54280009,Kugelberg-Welander disease
54304004,Progressive bulbar palsy
55016009,Congenital muscular hypertrophy-cerebral syndrome
55051001,"Myasthenia gravis, juvenile form"
5571000124103,Cerebrovascular accident with intracranial hemorrhage
56267009,Multi-infarct dementia
563789641000119101,Cerebrovascular accident due to thrombosis of bilateral carotid arteries
56989000,Eaton-Lambert syndrome
578968971000119100,Cerebrovascular accident due to thrombosis of bilateral vertebral arteries
57938005,"Congenital myotonia, autosomal dominant form"
57958006,Endocrine myopathy
57981008,Progressing stroke
58173271000119101,Cerebrovascular accident due to embolism of bilateral cerebellar arteries
58756001,Huntington's chorea
58795000,Distal muscular dystrophy
595899961000119100,Cerebrovascular accident of basal ganglia
60738003,Secondary myopathy
62009002,Adult neuronal ceroid lipofuscinosis
63135006,Amyotonia congenita
63230211000119103,Acute cerebrovascular accident due to occlusion of left middle cerebral artery
64009001,Basilar artery syndrome
64383006,Werdnig-Hoffmann disease
64764001,"Acute paralytic poliomyelitis, bulbar"
652287331000119104,Cerebrovascular accident of brainstem
655081461000119101,Cerebrovascular accident due to occlusion of right anterior cerebral artery
674371000119105,Weakness of facial muscle due to and following hemorrhagic cerebrovascular accident
67747009,Ocular muscular dystrophy
67992007,Multiple AND bilateral precerebral artery obstruction
682441000119105,Primary astrocytoma of cerebral ventricle
68437005,Thyrotoxic myopathy
68618008,Rett syndrome
693158221000119105,Acute cerebrovascular accident due to stenosis of right carotid artery
699866005,Progressive bulbar palsy with sensorineural deafness
702343002,Early onset myopathy with fatal cardiomyopathy
702373006,Hereditary myopathy with early respiratory failure
702383005,Distal myopathy 2
703524005,Spinal muscular atrophy with progressive myoclonic epilepsy
711406009,Autosomal recessive axonal neuropathy with neuromyotonia
711483003,Spinal muscular atrophy with respiratory distress type 1
71444005,Cerebral arterial thrombosis
715429006,Congenital muscular dystrophy with infantile cataract and hypogonadism syndrome
715565004,Lethal arthrogryposis co-occurrent with anterior horn cell disease
716722005,Acute motor sensory axonal Guillain-Barré syndrome
716723000,Guillain-Barré syndrome acute inflammatory demyelinating polyradiculoneuropathic form
717964007,Juvenile primary lateral sclerosis
718177001,Autosomal recessive limb girdle muscular dystrophy type 2F
718555006,Juvenile amyotrophic lateral sclerosis
718572004,Bethlem myopathy
719836007,X-linked distal arthrogryposis multiplex congenita
720261501000119107,Cerebrovascular accident due to occlusion of bilateral anterior cerebral arteries
722987009,Amyotrophic lateral sclerosis plus syndrome
723308003,Epidermolysis bullosa simplex with muscular dystrophy
723612001,"Spinal muscular atrophy, Dandy-Walker malformation, cataract syndrome"
724429004,Stroke co-occurrent with migraine
725046003,Mitochondrial complex I deficiency due to deficiency of acyl-coenzyme A dehydrogenase 9
725420009,Congenital muscular dystrophy Paradas type
726021008,Long chain 3-hydroxyacyl-coenzyme A dehydrogenase deficiency
73192008,Multiple AND bilateral precerebral artery stenosis
732330391000119107,Cerebrovascular accident due to embolism of bilateral vertebral arteries
732923001,Hemorrhage of medulla oblongata
73297009,Muscular dystrophy
733490006,Distal myopathy with early respiratory muscle involvement
734383005,Thrombosis of left middle cerebral artery
734384004,Thrombosis of right middle cerebral artery
734961002,Embolus of left posterior cerebral artery
734963004,Embolus of right posterior cerebral artery
734964005,Embolus of left middle cerebral artery
734965006,Embolus of right middle cerebral artery
7379000,Pseudobulbar palsy
738211801000119107,Acute cerebrovascular accident due to thrombosis of right middle cerebral artery
738478141000119101,Acute cerebrovascular accident due to occlusion of right cerebellar artery
745761781000119105,Visual field defect due to and following intracerebral hemorrhage
75038005,Cerebellar hemorrhage
75072002,Nemaline myopathy
751371000000107,Personal history of transient ischaemic attack
75543006,Cerebral embolism
759950981000119101,Cerebrovascular accident due to thrombosis of left vertebral artery
762005171000119101,Acute cerebrovascular accident due to ischemia
762629007,Occlusion of right middle cerebral artery by embolus
762630002,Occlusion of left middle cerebral artery by embolus
762651004,Occlusion of right posterior cerebral artery by embolus
762652006,Occlusion of left posterior cerebral artery by embolus
763067000,Autosomal dominant congenital benign spinal muscular atrophy
763314009,Congenital muscular dystrophy with hyperlaxity
763533003,Distal hereditary motor neuropathy Jerash type
763829004,Oculopharyngodistal myopathy
764812008,Autosomal recessive myogenic arthrogryposis multiplex congenita
764944006,Congenital muscular dystrophy type 1B
765197008,Symptomatic form of muscular dystrophy of Duchenne and Becker in female carrier
76670001,Duchenne muscular dystrophy
766764008,X-linked distal spinal muscular atrophy type 3
769023031000119104,Cerebrovascular accident of thalamus
770558006,Late-onset distal myopathy Markesbery Griggs type
770596007,Rippling muscle disease with myasthenia gravis
770627003,Desmin-related myofibrillar myopathy
770722002,Proximal myopathy with extrapyramidal signs
770727008,Spinal muscular atrophy with respiratory distress type 2
770786001,Hereditary inclusion body myopathy type 4
770787005,Benign Samaritan congenital myopathy
770939009,Huntington disease-like 3
77097004,Oculopharyngeal muscular dystrophy
771144005,Hereditary motor and sensory neuropathy with acrodystrophy
771238004,"Spinal atrophy, ophthalmoplegia, pyramidal syndrome"
771267003,Congenital muscular dystrophy with integrin alpha-7 deficiency
771272007,Congenital muscular dystrophy due to lamin A/C mutation
7713009,Intrapontine hemorrhage
771302009,Autosomal recessive lower motor neuron disease with childhood onset
771306007,"Hereditary fibrosing poikiloderma, tendon contractures, myopathy, pulmonary fibrosis syndrome"
771475006,Young adult-onset distal hereditary motor neuropathy
772129007,Autosomal dominant childhood-onset proximal spinal muscular atrophy
773306002,Congenital lethal myopathy Compton North type
773555005,Severe neurodegenerative syndrome with lipodystrophy
773729007,X-linked myopathy with postural muscle atrophy
774148007,Polyglucosan body myopathy type 1
77461000119109,Myasthenia gravis with exacerbation
77471000119103,Myasthenia gravis without exacerbation
776087007,Autosomal recessive cerebral atrophy
778029000,FAST kinase domains 2-related infantile mitochondrial encephalomyopathy
778060000,Collagen type IV alpha 1 chain related familial vascular leukoencephalopathy
77956009,Steinert myotonic dystrophy syndrome
782743001,Huntington disease-like syndrome due to chromosome 9 open reading frame 72 expansions
782772000,Congenital muscular dystrophy with intellectual disability and severe epilepsy
782883004,Fatal infantile hypertonic myofibrillar myopathy
783010003,Pharyngeal-cervical-brachial variant of Guillain-Barré syndrome
783012006,Parkinsonian pyramidal syndrome
783174004,Congenital muscular dystrophy with intellectual disability
783175003,Congenital muscular dystrophy without intellectual disability
783176002,Congenital muscular dystrophy with cerebellar involvement
783734000,"Mitochondrial deoxyribonucleic acid depletion syndrome, hepatocerebral form due to deoxyguanosine kinase deficiency"
784341001,Amyotrophic lateral sclerosis type 4
784371009,Huntington disease-like 1
78468005,Erb's muscular dystrophy
785298001,Muscle eye brain disease with bilateral multicystic leukodystrophy
78569004,Posterior inferior cerebellar artery syndrome
787037000,Congenital muscular dystrophy type 1A
788310011000119109,Acute cerebrovascular accident due to occlusion of left cerebellar artery
788880006,Cerebral ischemic stroke due to dissection of artery
788881005,Cerebral ischemic stroke due to aortic arch embolism
788882003,Cerebral ischemic stroke due to global hypoperfusion with watershed infarct
788883008,Cerebral ischemic stroke due to hypercoagulable state
806161651000119106,Cerebrovascular accident due to embolism of right vertebral artery
80976008,Myasthenic crisis
81211007,Primary lateral sclerosis
82077006,Myotubular myopathy
828066161000119106,Cerebrovascular accident due to thrombosis of right anterior cerebral artery
84590007,Lower motor neuron disease
849488701000119104,Cerebrovascular accident due to embolism of right anterior cerebral artery
849579281000119106,Cerebrovascular accident due to occlusion of right posterior communicating artery
851365731000119106,Cerebrovascular accident due to thrombosis of left posterior cerebral artery
85505000,Adult spinal muscular atrophy
85672005,Anterior horn cell disease
859422751000119101,Cerebrovascular accident due to embolism of left carotid artery
86044005,Amyotrophic lateral sclerosis
864471000000106,Anterior opercular syndrome
86553761000119103,Cerebrovascular accident due to occlusion of bilateral posterior cerebral arteries
870288002,Parkinsonism caused by methanol
870295006,Parkinsonism caused by carbon disulfide
870544005,Occlusion of distal basilar artery
870579007,Occlusion of branch of basilar artery
87555007,Claude's syndrome
87694001,Pyruvate carboxylase deficiency
879937000,Alpha-N-acetylgalactosaminidase deficiency type 1
881694631000119107,Cerebrovascular accident of medulla oblongata
88923002,Progressive muscular atrophy
890368007,Congenital muscular dystrophy type 1C due to fukutin related protein gene mutation
